adaptation_size,method,num_nodes,num_edges,mean_ratio,std_ratio,median_runtime_ms,retention_vs_classical,training_best_loss,training_best_epoch,training_epochs_run
8,Classical depth-2 search,10.0,18.0,0.8686484466148002,0.03081258974329941,709.6978334999999,1.0,0.0024665171431479394,23,68
8,Graph-conditioned GNN (ours),10.0,18.0,0.8659952610622228,0.03186469158949661,0.40806250000180455,0.9969456164194881,0.0024665171431479394,23,68
8,Heuristic mean-angle initializer,10.0,18.0,0.8681518021381517,0.031238458901881174,0.34985400000131506,0.9994282560700085,0.0024665171431479394,23,68
12,Classical depth-2 search,10.0,18.0,0.8686484466148002,0.03081258974329941,718.1403339999974,1.0,0.004088131885509938,6,51
12,Graph-conditioned GNN (ours),10.0,18.0,0.8638170198092358,0.031511789506960514,0.39552049999969086,0.9944379952276516,0.004088131885509938,6,51
12,Heuristic mean-angle initializer,10.0,18.0,0.8682185162909727,0.031151222156753252,0.34470850000012376,0.999505058317317,0.004088131885509938,6,51
16,Classical depth-2 search,10.0,18.0,0.8686484466148002,0.03081258974329941,720.1682914999985,1.0,0.004430137159943115,5,50
16,Graph-conditioned GNN (ours),10.0,18.0,0.862101490392388,0.028977368813628238,0.43793750000276077,0.9924630542448717,0.004430137159943115,5,50
16,Heuristic mean-angle initializer,10.0,18.0,0.8682395108240053,0.031138661877854752,0.3533540000013602,0.999529227511557,0.004430137159943115,5,50
24,Classical depth-2 search,10.0,18.0,0.8686484466148002,0.03081258974329941,736.7689164999973,1.0,0.09792528978626554,98,143
24,Graph-conditioned GNN (ours),10.0,18.0,0.817232833223119,0.03381604857681875,0.3969160000067973,0.9408096410094873,0.09792528978626554,98,143
24,Heuristic mean-angle initializer,10.0,18.0,0.8492348335120604,0.03187082379625321,0.35120849999970005,0.9776507824558988,0.09792528978626554,98,143
