adaptation_size,method,graph_id,num_nodes,num_edges,expected_cut,best_cut,approximation_ratio,runtime_ms
8,Classical depth-2 search,42,10,18,11.75180522325467,14.0,0.8394146588039051,664.1879579999994
8,Heuristic mean-angle initializer,42,10,18,11.746692614998512,14.0,0.8390494724998937,0.3688339999996515
8,Graph-conditioned GNN (ours),42,10,18,11.731588559751588,14.0,0.8379706114108277,0.48337500000172895
8,Classical depth-2 search,43,10,18,11.83796040766207,14.0,0.8455686005472908,682.0270419999996
8,Heuristic mean-angle initializer,43,10,18,11.80983670592452,14.0,0.8435597647088943,0.3506670000028578
8,Graph-conditioned GNN (ours),43,10,18,11.726255078970368,14.0,0.8375896484978834,0.40770900000097754
8,Classical depth-2 search,44,10,18,11.666067556580503,13.0,0.8973898120446541,784.8641669999985
8,Heuristic mean-angle initializer,44,10,18,11.664095343861925,13.0,0.8972381033739942,0.3414999999975521
8,Graph-conditioned GNN (ours),44,10,18,11.650400288461364,13.0,0.8961846375739511,0.39945800000040776
8,Classical depth-2 search,45,10,18,11.650290769798968,13.0,0.896176213061459,737.3686250000002
8,Heuristic mean-angle initializer,45,10,18,11.650127353371968,13.0,0.8961636425670745,0.3552089999985242
8,Graph-conditioned GNN (ours),45,10,18,11.639041120589258,13.0,0.8953108554299429,0.40841600000263156
8,Classical depth-2 search,46,10,18,11.717125975406475,14.0,0.836937569671891,667.9339169999992
8,Heuristic mean-angle initializer,46,10,18,11.711347350098048,14.0,0.8365248107212891,0.333707999999433
8,Graph-conditioned GNN (ours),46,10,18,11.693164616494133,14.0,0.8352260440352952,0.39950000000033015
8,Classical depth-2 search,47,10,18,11.65324973227482,13.0,0.8964038255596015,738.5171670000012
8,Heuristic mean-angle initializer,47,10,18,11.652875246450936,13.0,0.8963750189577643,0.34904099999977234
8,Graph-conditioned GNN (ours),47,10,18,11.617967002530676,13.0,0.8936897694254367,0.49512500000048476
12,Classical depth-2 search,42,10,18,11.75180522325467,14.0,0.8394146588039051,684.3716250000007
12,Heuristic mean-angle initializer,42,10,18,11.7479335212672,14.0,0.8391381086619428,0.35962500000152886
12,Graph-conditioned GNN (ours),42,10,18,11.67858005945374,14.0,0.8341842899609814,0.51245899999941
12,Classical depth-2 search,43,10,18,11.83796040766207,14.0,0.8455686005472908,700.7959589999971
12,Heuristic mean-angle initializer,43,10,18,11.81436001421067,14.0,0.8438828581579051,0.34641699999937714
12,Graph-conditioned GNN (ours),43,10,18,11.735697965248757,14.0,0.8382641403749113,0.41204100000058475
12,Classical depth-2 search,44,10,18,11.666067556580503,13.0,0.8973898120446541,793.9493750000004
12,Heuristic mean-angle initializer,44,10,18,11.663866227385288,13.0,0.8972204790296375,0.3422919999991336
12,Graph-conditioned GNN (ours),44,10,18,11.6246428276528,13.0,0.8942032944348307,0.39587499999882425
12,Classical depth-2 search,45,10,18,11.650290769798968,13.0,0.896176213061459,735.4847089999978
12,Heuristic mean-angle initializer,45,10,18,11.64989435065155,13.0,0.8961457192808885,0.34462500000032037
12,Graph-conditioned GNN (ours),45,10,18,11.572795157692575,13.0,0.890215012130198,0.39516600000055746
12,Classical depth-2 search,46,10,18,11.717125975406475,14.0,0.836937569671891,666.0368329999997
12,Heuristic mean-angle initializer,46,10,18,11.712000362159435,14.0,0.8365714544399596,0.3393749999993645
12,Graph-conditioned GNN (ours),46,10,18,11.660796685295583,14.0,0.8329140489496846,0.38516600000093604
12,Classical depth-2 search,47,10,18,11.65324973227482,13.0,0.8964038255596015,747.8230000000003
12,Heuristic mean-angle initializer,47,10,18,11.652582216281534,13.0,0.8963524781755026,0.34479199999992716
12,Graph-conditioned GNN (ours),47,10,18,11.610577329062519,13.0,0.8931213330048091,0.38941599999731125
16,Classical depth-2 search,42,10,18,11.75180522325467,14.0,0.8394146588039051,680.0150420000009
16,Heuristic mean-angle initializer,42,10,18,11.747440563157085,14.0,0.8391028973683632,0.3604579999958446
16,Graph-conditioned GNN (ours),42,10,18,11.700649209833077,14.0,0.8357606578452198,0.45170900000357506
16,Classical depth-2 search,43,10,18,11.83796040766207,14.0,0.8455686005472908,697.6560829999983
16,Heuristic mean-angle initializer,43,10,18,11.815587774565149,14.0,0.843970555326082,0.3512500000013574
16,Graph-conditioned GNN (ours),43,10,18,11.753760340011157,14.0,0.8395543100007969,0.4014169999990713
16,Classical depth-2 search,44,10,18,11.666067556580503,13.0,0.8973898120446541,795.9192920000007
16,Heuristic mean-angle initializer,44,10,18,11.664184651061452,13.0,0.8972449731585732,0.35320799999993824
16,Graph-conditioned GNN (ours),44,10,18,11.55689345097617,13.0,0.8889918039212439,0.39333299999810833
16,Classical depth-2 search,45,10,18,11.650290769798968,13.0,0.896176213061459,745.808334000003
16,Heuristic mean-angle initializer,45,10,18,11.649914051551486,13.0,0.8961472347347297,0.3388339999972345
16,Graph-conditioned GNN (ours),45,10,18,11.492820052323903,13.0,0.8840630809479926,0.4241660000019465
16,Classical depth-2 search,46,10,18,11.717125975406475,14.0,0.836937569671891,673.0269159999978
16,Heuristic mean-angle initializer,46,10,18,11.71268856076397,14.0,0.8366206114831407,0.43587500000086266
16,Graph-conditioned GNN (ours),46,10,18,11.650745570670473,14.0,0.8321961121907481,0.46425000000027694
16,Classical depth-2 search,47,10,18,11.65324973227482,13.0,0.8964038255596015,742.6804999999988
16,Heuristic mean-angle initializer,47,10,18,11.652560307350857,13.0,0.8963507928731429,0.35350000000278214
16,Graph-conditioned GNN (ours),47,10,18,11.596558706828251,13.0,0.892042977448327,0.5201669999976843
24,Classical depth-2 search,42,10,18,11.75180522325467,14.0,0.8394146588039051,685.4390000000024
24,Heuristic mean-angle initializer,42,10,18,11.503800528505518,14.0,0.8217000377503941,0.3430000000008704
24,Graph-conditioned GNN (ours),42,10,18,11.0877658956624,14.0,0.7919832782616,0.45850000000768887
24,Classical depth-2 search,43,10,18,11.83796040766207,14.0,0.8455686005472908,708.8667499999985
24,Heuristic mean-angle initializer,43,10,18,11.551065409661323,14.0,0.8250761006900945,0.42608299999358223
24,Graph-conditioned GNN (ours),43,10,18,11.009815040839747,14.0,0.7864153600599819,0.3995410000072752
24,Classical depth-2 search,44,10,18,11.666067556580503,13.0,0.8973898120446541,824.4651250000032
24,Heuristic mean-angle initializer,44,10,18,11.407068250607981,13.0,0.8774667885083063,0.34279199999787124
24,Graph-conditioned GNN (ours),44,10,18,11.010856622094153,13.0,0.8469889709303194,0.43312499998648946
24,Classical depth-2 search,45,10,18,11.650290769798968,13.0,0.896176213061459,770.0512079999982
24,Heuristic mean-angle initializer,45,10,18,11.414246254172642,13.0,0.8780189426286648,0.3456249999942429
24,Graph-conditioned GNN (ours),45,10,18,11.10520805577634,13.0,0.8542467735212569,0.39429100000631934
24,Classical depth-2 search,46,10,18,11.717125975406475,14.0,0.836937569671891,694.1402909999965
24,Heuristic mean-angle initializer,46,10,18,11.398680089806238,14.0,0.8141914349861599,0.3567920000051572
24,Graph-conditioned GNN (ours),46,10,18,10.944286275902346,14.0,0.7817347339930247,0.3903329999985772
24,Classical depth-2 search,47,10,18,11.65324973227482,13.0,0.8964038255596015,764.6710829999961
24,Heuristic mean-angle initializer,47,10,18,11.426424054613658,13.0,0.878955696508743,0.514500000008411
24,Graph-conditioned GNN (ours),47,10,18,10.9463624734429,13.0,0.8420278825725307,0.38704199999983757
