metric,value
source_num_instances,12.0
target_num_instances,12.0
source_mean_radius,0.12009863995269936
source_rms_radius,0.20560948208256066
source_max_radius,0.672829727812812
target_mean_radius,0.053639327579741665
target_rms_radius,0.06836881749937695
target_max_radius,0.14482918219858582
centroid_distance,0.1359320633019997
rms_separation_margin,-0.13804623627993792
max_separation_margin,-0.6817268467093982
transfer_mean_angle_l2,2.1378265492814843
transfer_mean_distance_to_source_centroid,2.03114415425225
transfer_mean_retention,0.6723050579431106
transfer_excursion_beyond_source_max_radius,1.358314426439438
transfer_angle_error_lower_bound,1.7503829087516645
