method,graph_id,num_nodes,num_edges,expected_cut,best_cut,approximation_ratio,classical_ratio,retention_vs_classical,proposal_ms,evaluation_ms,total_ms,angle_l2_to_target,distance_to_source_centroid,raw_angles
Classical depth-2 search,84,12,18,12.202735600307182,14.0,0.8716239714505131,0.8716239714505131,1.0,712.3334999999997,0.0,712.3334999999997,0.0,0.11630985550003387,
Transcriptomic heuristic,84,12,18,12.04601621081698,14.0,0.86042972934407,0.8716239714505131,0.9871570281760217,0.001041999993844911,0.5734169999982441,0.574458999992089,0.11630986838945671,2.6545870188517664e-08,[0.52165031 0.99167156 0.4430064  0.25166893]
Transcriptomic descriptor regressor,84,12,18,10.172385776351927,14.0,0.7265989840251377,0.8716239714505131,0.8336151916702886,0.2235420000005206,0.5486670000038885,0.7722090000044091,0.6031357818269618,0.505411991202201,[0.83479361 1.36567753 0.54987718 0.32964782]
Transcriptomic GNN transfer,84,12,18,8.540813750205155,14.0,0.610058125014654,0.8716239714505131,0.6999097603975092,0.7095830000025671,0.5469170000083068,1.256500000010874,2.2504655344754894,2.168397235901863,[1.38034046 2.83799815 1.14424157 0.50454259]
Morphology heuristic,84,12,18,12.160457438424512,14.0,0.868604102744608,0.8716239714505131,0.9965353537708703,0.0008749999977908374,0.5106249999897727,0.5114999999875636,0.08213808108553589,0.13593203181438862,[0.4209238  0.90145922 0.43088698 0.24484654]
Morphology descriptor regressor,84,12,18,12.138883152648024,14.0,0.8670630823320017,0.8716239714505131,0.9947673661258749,0.15762499999993906,0.48616600000173094,0.64379100000167,0.07069920809443432,0.14616963221090434,[0.3982578  1.01545133 0.41244532 0.18354849]
Morphology GNN (oracle),84,12,18,12.087405557229665,14.0,0.8633861112306904,0.8716239714505131,0.9905488370103984,0.6047079999973448,0.5006250000008095,1.1053329999981543,0.09881023010512682,0.08089741763591606,[0.45536971 1.03095877 0.45672211 0.2311831 ]
Classical depth-2 search,85,12,18,12.50631312638344,15.0,0.8337542084255626,0.8337542084255626,1.0,707.9412919999868,0.0,707.9412919999868,0.0,0.12604832651478637,
Transcriptomic heuristic,85,12,18,12.414171677750101,15.0,0.8276114451833401,0.8337542084255626,0.9926324051139456,0.0006669999947916949,0.48970900000711026,0.49037600000190196,0.12604834830784117,2.6545870188517664e-08,[0.52165031 0.99167156 0.4430064  0.25166893]
Transcriptomic descriptor regressor,85,12,18,10.972250260469785,15.0,0.7314833506979856,0.8337542084255626,0.8773369217281646,0.1493749999923466,0.4923329999968473,0.6417079999891939,0.5442668921538998,0.42077027474249484,[0.81309092 1.2712371  0.53051138 0.33101604]
Transcriptomic GNN transfer,85,12,18,8.375191488116197,15.0,0.5583460992077465,0.8337542084255626,0.6696770985565532,0.5921669999935375,0.4997919999993883,1.0919589999929258,1.978548971567422,1.8685091232590403,[1.26669633 2.58096623 1.04576302 0.4686012 ]
