top_gene_count,target_edge_count,method,graph_id,num_nodes,num_edges,expected_cut,best_cut,approximation_ratio,runtime_ms,sweep_runtime_s
4,3,Classical depth-2 search,42,4,3,2.7320740278508184,3.0,0.9106913426169395,141.4609579999997,6.144204707999999
4,3,Heuristic mean-angle initializer,42,4,3,2.685603900341195,3.0,0.8952013001137317,0.10545800000016925,6.144204707999999
4,3,Graph-conditioned GNN (ours),42,4,3,2.5737300977588244,3.0,0.8579100325862749,0.22762500000084174,6.144204707999999
4,3,Classical depth-2 search,43,4,3,2.732074027821475,3.0,0.9106913426071582,132.27266599999953,6.144204707999999
4,3,Heuristic mean-angle initializer,43,4,3,2.685603900341195,3.0,0.8952013001137317,0.10125000000016371,6.144204707999999
4,3,Graph-conditioned GNN (ours),43,4,3,2.358221142993477,3.0,0.786073714331159,0.150999999998902,6.144204707999999
4,3,Classical depth-2 search,44,4,3,2.732074027850731,3.0,0.9106913426169103,138.6792080000001,6.144204707999999
4,3,Heuristic mean-angle initializer,44,4,3,2.685603900341195,3.0,0.8952013001137317,0.09441600000137385,6.144204707999999
4,3,Graph-conditioned GNN (ours),44,4,3,2.7295821697758944,3.0,0.9098607232586314,0.13724999999986665,6.144204707999999
4,3,Classical depth-2 search,45,4,3,2.732074027850743,3.0,0.9106913426169143,135.02187499999962,6.144204707999999
4,3,Heuristic mean-angle initializer,45,4,3,2.685603900341196,3.0,0.8952013001137319,0.09649999999972181,6.144204707999999
4,3,Graph-conditioned GNN (ours),45,4,3,2.6809171244915118,3.0,0.8936390414971705,0.14087499999959618,6.144204707999999
6,6,Classical depth-2 search,42,6,6,4.6323601576015765,5.0,0.9264720315203153,203.34995800000044,4.28273025
6,6,Heuristic mean-angle initializer,42,6,6,4.618003759405775,5.0,0.9236007518811549,0.15533300000036832,4.28273025
6,6,Graph-conditioned GNN (ours),42,6,6,4.6219731476831925,5.0,0.9243946295366385,0.27395899999937967,4.28273025
6,6,Classical depth-2 search,43,6,6,4.6057242652314105,5.0,0.9211448530462821,197.97762500000005,4.28273025
6,6,Heuristic mean-angle initializer,43,6,6,4.6180037594057755,5.0,0.9236007518811551,0.14224999999967736,4.28273025
6,6,Graph-conditioned GNN (ours),43,6,6,4.614964053859404,5.0,0.9229928107718808,0.20162499999898387,4.28273025
6,6,Classical depth-2 search,44,6,6,4.609260830171422,5.0,0.9218521660342844,200.3542920000001,4.28273025
6,6,Heuristic mean-angle initializer,44,6,6,4.600241991076445,5.0,0.920048398215289,0.1415829999995566,4.28273025
6,6,Graph-conditioned GNN (ours),44,6,6,4.608210384157755,5.0,0.921642076831551,0.184415999999743,4.28273025
6,6,Classical depth-2 search,45,6,6,4.57999615971592,5.0,0.915999231943184,198.10099999999943,4.28273025
6,6,Heuristic mean-angle initializer,45,6,6,4.541444499540436,5.0,0.9082888999080871,0.13862499999994782,4.28273025
6,6,Graph-conditioned GNN (ours),45,6,6,4.547350762219038,5.0,0.9094701524438076,0.18062500000048942,4.28273025
8,11,Classical depth-2 search,42,8,11,7.704404730481524,9.0,0.8560449700535027,281.67679099999884,5.644796166000001
